,id,date,dateYear,dateMonth,dateDay,rating,content
0,1,20220525,2022,05,25,3,"로그인 화면 후 이체나 조회를 하려고 터치하는 순간 이벤트 창이 떠서, 조회 이체화면 버튼을 가리면서 이벤트 창으로 너무 자주 넘어갑니다. 빠른 업무처리를 위해 자주 이 앱을 사용하는 사용자로서 너무 불편합니다. 하단에 이벤트 표시를 하던지, 미리 이벤트 표시가 나와있던지 하는 방식으로 빠른 개선을 부탁드립니다. 아울러, 추가 이체 업무가 필요한데, 일회 이체후마다 충전 관련 문구가 떠서, 홈으로 다시가기 버튼 누르고 업무를 진행하니 시간이 소요되고 사용상에 불편을 느낍니다. 위 두가지 사항에 대해 개선을 부탁드립니다. 수고하세요."
1,2,20220620,2022,06,20,4,기존 입출금알림을 스마트알림앱 쓰다가 뱅킹앱에도 있는 걸 알고 바꿔봤는데요. 스마트알림앱은 팝업으로도 띄워주는데 뱅킹앱에사서 알림설정시 입출금되면 상단바에 띄우기만 하고 팝업으로 띄워주진 않네요. 제 설정이 잘못된건가요 원래 그런 것인가요 -----추가 스마트알림앱처럼 누르기전에 푸시만으로 팝업 띄워줄 순 없나요?
2,3,20220731,2022,07,31,1,시스템장애 재시도 오류 계속나요 일주일째 같습니다 어플삭제후 재설치하니 인증서 pc->핸드폰 이동만 되고 핸드폰에 저장되어있는 인증서는 등록이 안됩니다 갑자기 왜이러는거예요? 지금 두번째 삭제후재설치했어요!!! 인증서 때문에 pc도 켜야하고ㅠ 몇년째 사용중인데 갑자기왜이런지요
3,4,20220304,2022,03,04,5,"몇년간 잘 사용하였습니다. 이제는 연중 창구 방문없이 스마트뱅킹으로 하고 있어요. 시류에 맞게 빠른 업그레이드 좋았고요. ★어제 오전까지 잘되던 이체가, 오후부터 트러블입니다. 이체화면에서 상하 스크롤이 되지 않습니다. LG X400모델로 구형이긴 합니다만 오전까지 잘되었는데 바뀐상황이 없이 화면이 전혀 아래위로 움직이질 않으니 이체가 불가합니다. 폰의 여러가지 설정에도 특별한 것이 없고 앱 업데이트도 해 보았지만 안됩니다. 이유가 있을까요?"
4,5,20220301,2022,03,01,1,일일계좌이체 한도를 바꾸고자 신청절차를 밟는데 신분증을 찍는 절차에서 1시간동안 애먹었습니다. 언제나 찍을 때마다 얼굴이 인식되지 않는다며 다시 찍으라고 하더군요. 가끔씩 '진위여부 중입니다' 란 다음 단계로 넘어가면 정말 기뻤습니다. 그러나 다음 단계인 정보 수정을 하라는 단계에서 더이상 다음 단계로 나갈 가능성을 주지 않더라구요... 인식한 정보가 맞아 다음 버튼을 눌렀으나 사진과 정보가 다르다며 다시 찍으라는데... 또한 찍고 찍다 뒤로 돌아가면 로그아웃... 다시 처음부터 해야 하는 상황을 2번 정도 반복했습니다...
5,6,20220218,2022,02,18,1,신분증 인식률이 많이 좋지 않습니다. 검은 배경에 두고 하여도 잘 인식을 하지 않을 뿐더러 인식을 하였다 해도 사진 오류로 재촬영만 하라고 하네여... 신분증 마모로 인한 것일까봐 거의 사용하지 않은 운전 면허증으로 해봤는데 얘는 인식이 아예 되지 않습니다... 게다가 인식률이 너무 낮은데 자동 촬영으로 설정해놔서 더 답답하게 만듭니다. 그냥 수동으로 촬영하게하는게 나을거 같아요...
6,7,20220315,2022,03,15,1,"지금 며칠 째 접속이 안됩니다. 업데이트를 해도 똑같아요. 인터넷 문젠 아니고 앱 자체의 문제입니다. 로그인화면에서 로딩중이라는 동그라미만 돌아가고 간편로그인이든 인증서로그인이든 접속이 되질 않아요. 새로 회원가입하려해도 또 다시 로딩이 안되는지 동그라미만 돌아가고, 앱을 종료하려해도 뒤로가기도 안됩니다. 어떻게 해야나요"
7,8,20220303,2022,03,03,1,"앱 깔고 실행하면 스마트뱅킹 가입하라고 약관동의하면이 뜨는데 페이지가 밑으로 않내려갑니다. 내리게 할려면 확인 눌러서 오류가 뜨고, 인증을 안했다면서 화면이 내려가게 만들어야 합니다. 또한 청년희망적금 신청할려고 약관동의하면 들어가면 똑같이 화면이 밑으로 안내려갑니다. 더군다나 청년희망적금은 화면이 내려가지 않아 많은 불편을 겪고 있습니다. 빨리 고쳐주세요."
8,9,20220302,2022,03,02,1,몇일째사용내역조회를 하는데 검색이 안되네요 전계좌검색하여 클릭하면 두어개 계좌만보이고 위로 올려지지않고 딱 화면에 나온것만보게되고 거래내역도 3개월클릭해도 4~5개목록만보여지고 클릭이안되 매우불편합니다 기존에는 안그랬는데 렉인지 업데이트하면서 작동오류된건지 매우 아주많이불편합니다
9,10,20220314,2022,03,14,3,간편로그인 화면에서 며칠째 보안모듈 엔진 초기화 실패라고 뜨면서 앱이 자동종료됩니다. 타은행사용에는 문제가없고요 핸드폰을 자시 실행해도 같은 현상이 지속되는데 해결 방법 알려주시기 바랍니다 다른 접속 수단으로 변경하려 해도 앱이 자동종료되어 변경시도 조차 못합니다 급히 계좌 체크할일이 있는데 답답하네요
