,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220802,2022,08,02,2,Y.M KIM,잠금 화면에서 알림이 오지 않는 경우가 많음. 아예 알림 자체가 오지 않는 경우도 가끔 있음. 원활하던 원터치 알림이 많이 그리움.은행 내부 계획에 따라 바꿨는지는 알겠는데 오히려 퇴보된 앱을 내놓는 건 아니지요. 버전 업데이트를 해가면서 해결될지는 모르겠지만 여러 리뷰들을 보니 알림 문제를 얘기하는 분이 많던데 다른 것보다 알림 문제를 시급히 해결 바랍니다. 아울러 여러 리뷰에서 말하는 앱에 들어갈 때마다 로그인하는 문제도 해결되었으면 합니다.
1,2,20220728,2022,07,28,1,이광호,"삼성폰 사용중 화면 켜지고 바탕화면 나와야 알림옴. 잠그상태나 폰이 대기상태면 알림안옴. 샤오미기기, 삼상기기 총 3대다 동일증상임. 알림문제.. 우리은행앱처럼 알림안오는 은행앱 처음봄 ㅡㅡㅡㅡㅡ 이번 업데이트이후에도 입출금알림은 꼭 잠금화면을 거쳐서 홈화면이 나와야 울리고, 그냥두면 한참뒤에 울리던지, 아니면 안울리네요. 알림 이렇게 오류있는 은행앱은 처음입니다. 개선의지가 있는건지요. 사용자가 호구인가요?"
2,3,20220619,2022,06,19,1,골드피그,"원터치알림 잘 사용하고 있는데 쓸때없이 없애고 원뱅킹알림은 결제 후 클릭하면 나오지 않는 경우가 많아서 번번히 로그인 해서 확인해야 함! 그리고, 원터치알림은 아무때나 지난 거래내역을 확인할 수 있어서 좋았는데 원뱅킹은 로그인해서 접속해야지만 확인가능해서 완전불편함... 누굴 위해 없앤것인지 고객의 불편함은 전혀 아랑곳하지 않는 듯... 원터치알림 되돌려 주길!"
3,4,20220628,2022,06,28,1,이광호,"2.2.3 업데이트를 해도 알림 안옵니다. 캐시, 데이터 다지우고 다시 설치해도 안옵니다. 우리카드앱은 잘오는데 우리은행원뱅킹앱만 안옵니다. 화면이 꺼진상태에서는 알림이 절대 안옵니다. 설정문제가 아닙니다. 잠금회면에서도안옵니다. 잠금을 풀어야 그제서야 알림이 울립니다. 이것도 오다안오다 합니다! 원뱅킹을 한번실행한후에는 잠시 회면꺼짐상태에서도 알림이울리는데, 일정시간이 지나면 회면키고 잠금풀어야 울립니다. 앱의 배터리 절전상태도 아닙니다. 배터리제한없음에 자동시작에, 앱메모리잠금까지 해도 그럽니다. 원터치 종료로 뱅킹을 어쩔수없이 깐건데, 결제후에 알림이 화면을 켜고 잠금을 해제해야 울리니 만약에 유료 SMS알림을 안해뒀으면 결제 도용되도 모르는거 아닙니까? 몇년전부터 지속적으로 않되는 알림이슈를 아직까지도 해결안하는건지 못하는건지! 은행이 로그인 이체등은 까다롭게 인증롹인하면서 정작 입출금알림은 정말 엉망진창이네요. 우리카드앱좀 참고하세요. 같은 우리금융계열인데 알림 잘오네요."
4,5,20220808,2022,08,08,1,MJ Lee,"스마트뱅킹 이체 시, 오류코드 4399 가 떠서 안됐는데, 고객센터 전화번호로 연결하라고 토스트 메시지가 알려주네요. 고객센터에 통화 대기가 많아서 20분쯤 기다려서 해결했습니다. 오류코드 [4399=인증서 통신오류] 라고 합니다. 생체인증을 OFF로 변경하니 이체가 성공하네요. 생체인증으로 이체가 안된다니 이상하네요, 전에는 잘 됐던것 같은데 말이죠. 프로그램 버그 같은데, 아무쪼록 잘 고쳐졌으면 좋겠습니다."
5,6,20220811,2022,08,11,1,cooling,"자동로그인 어떻게 하는 건가요..? 고객센터에 문의해봤는데, 간편로그인을 하면 자동로그인 선택하는 게 있을 거라고 했습니다. 그런데 아무리 찾아봐도 자동로그인 선택하는 게 안 보입니다.. 원터치알림은 이런 적 없었는데 이 어플은 들어갈 때마다 로그인하는 게 불편합니다."
6,7,20220811,2022,08,11,1,가젤톰슨,"씹xx같은것들. 업뎃했더니 왜 재로그인되는거임. 비번틀려 한번더 로그인. 뭐가 안깔려있다고 함더 로그인. 겨우 들어가서 설정 바꾸려하니까, 인증해야한다고 또 팅궈버리고, 인증하려하니 연동계좌가 없다 뜨면서 아무것도 안되네? 어우 쓰레기같은 어플 내가 친히 평가해주러옴"
7,8,20220804,2022,08,04,3,Moon Seok Kim,"다양한 정보를 한곳에 표현하시느라 고생하셨네요, 그런데 마이데이터 푸쉬알림이 설정이 안되는 이유가 몰까요? (설정해도 저장단계에서 해제됩니다) 입출금 알림때문에 앱을 사용하는데 매번 앱을 열어 조회해야 하는것이 번거럽습니다, 확인 하시어 조정해 주세요."
8,9,20220801,2022,08,01,1,Yongwoo Nam,"앱푸시가 와서 접속을 하면 원터치 리모콘 이용자라서 사용할 플랫폼을 선택하고 본인 인증을 하게 되는데, 이렇게 접속이 되면 앱푸시 해당 화면이 아닌 메인화면이 뜹니다. 그동안 참고 썼는데, 안 쓰면 영원히 개선이 안 될 것 같아 리뷰에 남깁니다. 제발 고쳐주세요."
9,10,20220627,2022,06,27,1,Hayley Shin,원터치알림이 없어진다고 해서 우리WON뱅킹에서 알림설정(부가서비스-통지서비스-입출금 모두-실시간 통지 모두 설정함)에서 입출금 시 실시간으로 푸시알림이 오도록 설정해놨는데도 전!혀! 알림이 오지 않습니다. 저 말고도 다른 이용자들한테도 알림이 안 가는 것 같은데 언제 업데이트되나요? 일일이 가계부어플에 기입해야 해서 상당히 불편합니다. 알림이 실시간으로 오도록 빨리 업데이트해주세요.
