,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220601,2022,06,01,3,박상현,"알림이 안오는 문제로 이 리뷰를 계속 지우고 새로 쓰고를 반복하고 있습니다. 리뷰를 지우고 새로 써야 최상단에 노출될까 싶어서.. 개인이 만든 앱도 알림이 안오는 경우는 단 한번도 보지 못했습니다. 스트레스가 이만저만 아닙니다. 현재 추측으로는 휴대폰을 재시작하면 알림이 안오는것 같습니다. 확인해보면 알림은 폰 설정과 앱 자체 알림 설정 모두 정상적으로 체크되어 있습니다. 그런데 알림은 안옵니다. 이 경우 앱 아이콘을 길게 터치후 뜨는 팝업창에 우측상단 (i)터치, 애플리케이션 정보창 뜨면 알림 터치, 앱 알림창 뜨면 알림 표시를 해제후 다시 설정해줘야 알림이 옵니다. 제발 테스트와 확인 부탁합니다."
1,2,20210831,2021,08,31,1,tiger imagine,하...대체 왜 이렇게 업데이트 했나요.. 너무 불편합니다. 1. 자주쓰는계좌 검색이 엉망 저장해놓은 이름으로 검색안되고 무조건 예금주 이름으로만 검색됨. 수많은 거래처 사장님 사모님 이름 모르면 거래처 계좌 알수없게됨. 2. 이체금액 버튼 누르면 아무런 반응이 없음. 내가 지금 맞게 누른건지 위에숫자보고 키패드버튼 봐야됨. 처음엔 보안때문이가 했는데 비밀번호는 누르면 키패드에 표시됨. 황당. 3. 이체시 내통장 표시내용 바꾸려면 다 지워야함. 4. 여러건 이체중 뭐하나 틀리면 지금까지 해논 작업 다 초기화됨 후..
2,3,20200109,2020,01,09,1,Google 사용자,새로 업데이트를 하면서 오류가 심각합니다. 어플로딩도 10여초이상 넘게 걸리고 중요한건 기업 공인인증서가 없다고 하여 로그인을 할수가 없습니다. 게다가 공인인증서를 pc에서 복사를 하여 진행도 안됩니다. 로그인관련 업데이트를 하면서 공인인증서가 보이지않게 되었나봅니다. 빠른 후속 수정 업데이트가 필요합니다.
3,4,20181125,2018,11,25,3,Google 사용자,이체할때 예전에는 자주쓰는이체 누르면 내통장 이름 설정하고 받는통장 이름설정하면바로 뜨는게 있었는데 그거때메 하나은햄 통장썼는데.. 바뀌니 넘불편ㅠ ㅠ 이번업뎃말고 다시 예~~전에 업데이트전 앱기능으로 만들어줘요ㅠ 이체할때 자주쓰는 이체 보는거 넘힘듦.. 여러개 한번에 보내는데. 넘불편.. 그리고 한번에 5개이체만 아니라 10개정도보내지게 해주세요
4,5,20210901,2021,09,01,4,새벽,"로그인 간편화가 된건 정말 너무 편하고 칭찬하는데 최근 이체내역이 터무니없이 짧아져서 너무 불편합니다,, 자주 이체하는 내역이 자동갱신되는것도 아니고 매번 저장해서 쓰는것도 아닌데 최근내역에 계좌정보가 없어져서 곤란한게 한두번이 아니에요.. 왜 이 편한 기능을 축소했는지 모르겠네요 ㅠ"
5,6,20201102,2020,11,02,4,신성환,"잘 쓰고있는데요. 꼭 개선해야할 버그가 있어 여기에 남겨드립니다. 꼭좀 반영 부탁드립니다. 하나은행기업 앱 자주쓰는이체 등록해놓고 쓰는데, 자주쓰는 이체관리에서 금액 수정하고 저장하면, 자주쓰는이체 목록에서 사라집니다. 직원들 월급 주면서 월급 몇번 올렸는데 금액 수정할때마다 없어져서 새로 만들었네요. 벌써 여러번째네요. 버그로 보입니다. 꼭좀 부탁드립니다."
6,7,20181219,2018,12,19,1,Google 사용자,"공인인증서 로그인할때 비번 중 숫자0을 누르다보면 오른쪽 사이드바가 자주 끌려 나오려고 하면서 0이 안 눌러집니다. 굉장히 불편합니다. 하나은행 개인용 어플은 공인인증서로 로그인 시 이러한 부분이 없으니 참고해서 수정 부탁드립니다. 매번 불편합니다. 또한, 왜 개인용 어플에서는 특수문자입력으로 전환시킬 수 있는 키패드 부분에 기업용은 가로보기 버튼이 배치되어 있어서 불편하게 하는지 궁금하네요. 개인, 기업 모두 하나은행을 사용하는 저로서는 이해할 수 없는 부분입니다."
7,8,20210628,2021,06,28,1,김영훈,대출건 때문에 앱깔았다가 결국 포기하고 앱 지웠습니다. 대출 신청시 중간에 오류가 나길래 cs쪽에 문의 했더니 예전에 있던 정보와 현재 입력된 정보가 불일치 나서 오류가 났다고 합니다. 이전까지 하나은행 관련(카드등 다른 그룹사 포함)서비스를 이용하고 있지는 않았지만 급해서 일단은 상담원 말씀대로 하나은행 계좌를 트고 정보를 맞춘후 기업뱅킹으로 로그인을 시도했더니 공동인증서가 없다고 메시지가 나와 하나은행 기업뱅킹 사이트로 들어가서 인증서 가져오기를 시도했습니다. 인증서 가져오기가 성공하고 로그인하려고 했더니 또 인증서가 없다고 합니다. 그걸 몇 번 반복하다 짜증나서 대출 보기하고 폰에 있던 앱 지웠습니다. 앞으로 이 앱은 쓰지 않도록 하겠습니다. 감사합니다.
8,9,20190610,2019,06,10,2,Google 사용자,알아서 오류 수정하겠지 하고 기다렸습니다. 1. 한번 로그인해서 들어간뒤 앱을 완전히 끄지 않은 상태로 다시 로그인 하려 하면 무한반복 로그인창만 나옴.. 2. 뭐 하나 새탭을 눌러 다른 정보를 확인 하려면 로그인이 또 나옴 기업앱쓰는 사람들이 한가해 보입니까?? 누구보다 결제할게 많고 바쁜 사람들인데.. 점점 맘에 안들어짐
9,10,20220618,2022,06,18,3,권소현,하나기업뱅킹에서 카드 이용승인내역 클릭하면 아이디넣은 후 비번 넣기 전에 앱에 에러가 자꾸 나네요. 예전에는 아이디 비번없이 자동으로 넘어 갔는데 업데이트 했는지 중복으로 기입해야하니 번거롭고 에러나고 불편합니다
