,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220808,2022,08,08,1,John Kim,어중이 떠중이로 개발을 해놔서 ux가 쓰레기네요. 카드 신청하려는데 1단계 2단계 3단계... 뭐만하면 다시 처음부터... 목숨하나로 게임하는 기분이에요. 그리고 결정적으로 마지막 단계에서 카드비밀번호 눌러도 아무것도 안떠서 결국 못했네요. 은행가도 고객센터 문의해도 아무 방법을 못찾고. 노트20에서만 나오는 현상인지 뭔지. 제대로 테스트 한 거 맞나요
1,2,20220727,2022,07,27,1,Noname _,다른은행어플은 사용안해보고 만드는듯 모든 불편한 요소를 한군데 모아둔 앱. 어떻게 업데이트할수록 편의성이 줄어드는지ㅋㅋㅋ 지문 로그인도 좀 넣어주라. 그리고 OTP 만 찍으면되지 매번 이체마다 비번이랑 로그인에 사용했던 공인인증서 비번을 찍어줘야하나ㅉㅈ 할말이 많지만 줄인다
2,3,20210130,2021,01,30,1,Three young Chae eun,사실 어쩔수 없이 쓰고는 잇는데 너무 불편합니다 ..개선사항 요청드려요 불편사항 1.. 비밀번호 너무 긴데. 한번에.로그인.안되여ㅠㅠ 가끔. 2번 해야함. 그렇다고.비번 틀린거.아님 2.. 입출금 알림이 없네요. 일일이 긴 비번 치고 들어가서 확인해야함. 개선요청 공인인증서. 컨펌되면. 간편로그인 되게 해주시고요 입출금 알림.부탁드려요 이체는. 돈이 빠지는.일이니 좀 어려워도됩니다
3,4,20200222,2020,02,22,1,Google 사용자,"기업뱅킹 앱 바뀌고 나서 얼마 안가 거짓말 안보태고 쓸때마다 로그인 2번 거쳐야 이용할수 있고요, 1일1오류로 ""전자서명값 오류입니다."" 메시지 뜨면 바로 앱 삭제하고 재설치 합니다. 로그인 다시 해봤자 소용 없거든요. 오류번호 9994 이런 몹쓸 앱은 첨 봅니다. 다시 만들어 주세요 제발"
4,5,20201031,2020,10,31,1,달타냥,정말로 기업은행 반성해야 합니다. 은행 어플 중 가장 불편하고 어플 때문에 은행을 바꿔 버리고 싶은 마음인데 거래처에 계좌 바꾸는 과정이 부담되서 어쩔수 없이 쓰는데 로그인이 한번에 되는 일이 없고 입출금 내역 같은 기본적인 모든 기능이 어떤 은행 보다도 불편하고 사용자 편의는 고려가 하나도 없네여
5,6,20210120,2021,01,20,1,OkJini kang,"사용할때마다 참 불편합니다 어쩔수없이 쓰긴 하는데.. 불편사항을 읽기는 하는지.. 많은 문제점과 개선사항이 올라오는것 같은데, 전혀 해결되거나 개선되지 않음에 실망이 커져 갑니다."
6,7,20201015,2020,10,15,1,no names,참다참다 몇년째 개선이 안되서 쓴다. 시간지나서 로그인튕긴다음에 재로그인하면 꼭 전자서명값오류나 어쩌니하면서 재로그인안되서 앱종료후 다시 로그인하거나 그마저도 로그인해도 다시 로그인하는화면으로 튕김. 태블릿은 가로모드에서 비번입력 보안키패드 다잘려서보임. 지금은 간편송금에서 이용자비번이 소문자숫자인데 영문대문자랑 소문자만 입력하라고 계속뜨고 매일쓰는비번이 안맞다고함. 참고로 나 개발자다 디바이스 설정값 탓하지마라
7,8,20190508,2019,05,08,2,Google 사용자,"간편이체 기능이나 간편로그인, 입출금알림 좀 개선 해주세요. 다른은행 어플 쓰다가 이거쓰니깐 너무 불편해요... 이체를 자주하는데 보안카드 항상 있어야 되고 로그인부터 진짜 너무 불편해요. 이체 한번 하려면 공인인증서 비밀번호를 두번 써야되고 보안카드번호에... 좀 그렇네요^^"
8,9,20210219,2021,02,19,1,Minus Shin,로그인할때 굉장히 높은확율로 공인인증서 비번을 2번 입력해야하는데 개짜증남. 그래서 빠짝 긴장해서 비번 입력하는데 비번 자판이 너무 엣지쪽에 몰려있어서인지 뭔지는 모르겠지만 비번 오류가 빈번히 발생함. 개짜증의 산물. 공인인증서 만든놈도 욕하고싶고 이 앱 만든놈도 욕하고싶음.
9,10,20220731,2022,07,31,1,박종화,"악성앱 있다고 삭제하라 합니다 왜죠? playstore의 protect인증앱인데 악성앱으로 간주되어 이를 삭제 하지 않으면 i-one bank앱을 사용할 수 없네요. 왜 악성앱으로 처리되는지, 이를 해결하려면 어찌해야 하는지, 무시하고 사용할 수 있도록 한다던지.. 보완이 필요해 보입니다."
10,11,20220808,2022,08,08,1,최승진,잘사용중인데 12개월미사용이체정지고객등록 풀려고 재가입-> 핸드폰 통신사 선택시 선택안되고 대출창으로 넘어가요
11,12,20220720,2022,07,20,1,두부,업데이트하고 내역조회가 쓰레기가 됐어요 전에는 한번클릭하면 되는걸 두세번 더 클릭해야 해서 번거롭습니다 담당자가 누군지 몰라도 동선 생각을 하면서 제작을 하세요 이따위로 일하고 월급을 받나
12,13,20220629,2022,06,29,2,M D,아니 인증센터에 세금계산용 인증서를 폰으로 받았는데 PC내보내기를하려고하니 인증센터목록에 세금계산용 인증서가없네요? 처음받자마자는 뜨더니 다음날되서 목록에서 없어지면 갑자기일하다가 이것때문에 하루날려버렸네요 손택스에서는 뜨는데 기업은행어플 인증센터에서는 떳다안떳다하는게 정상인가요?
13,14,20220728,2022,07,28,1,grey,예전에는 로그인 오류가 그렇게 나더니 업뎃하고서는 그게 없어져서 좋은가 했다. 근데 이번엔 계좌조회기능이 헬이 됨 출입금 검색만 하면 앱이 먹통이 되어버림.. 앱 개발자 이러면서 월급은 쳐받고 있는지 요즘 시대에 통장정리 하게 하는 앱
14,15,20220729,2022,07,29,1,삐삡,업뎃 그지같이 해놓으셨네요. 계좌조회 적요에 검색하는거도 위치도 이상하게 바뀌고설정기간 만큼안나오고.. 개발자님 뭐해요? 개노답이네 기업은행 개발자 능지..
15,16,20220307,2022,03,07,1,ZiiZee Zoo,아니 무슨 인증서가 일회용이 됐네요...... 재발급 및 pc내려 받기 해도 한번 사용하고 없어져 지금 아침부터 고객센터 연락하고 컴퓨터에서도 하고 인증서 하나 때문에 하루를 날렸어요 돈도 못 보내고 ㅡㅡ? 빠른 개선 부탁드립니다.
16,17,20210519,2021,05,19,4,H.G Yoo,자동환경설정 버튼 제발 이동/삭제 부탁드릴게요 ㅠ.ㅠ 개인계좌와 사업자 계좌 분리 관리 필요합니다 사업자 어플에서 개인계좌 같이 보고 싶지 않은데요~ 계좌관리 삭제할때는 opt번호 필요하고 실수로 자동환경설정 버튼 누르면 도로아미타불입니다@.@ 이건뭐지 하면서 한 3번 되풀이 했어요 왜 곳곳에 자동환경설정 버튼이 배치되어 있지요?? ㅠ.ㅠ 제발 어플도 그렇고 인터넷 뱅킹에서도 자동환경설정 버튼 없애주세요!!!
17,18,20200407,2020,04,07,1,Google 사용자,신분증등록이 안되네요. 개선이 필요할듯요. 여러번 시도해도 정확히 입력해도 신분증사진등록에서 계속 오류네요. 비대면개설이 이리 안되니...원
18,19,20210216,2021,02,16,1,정만정민,"이 앱은 몇년동안 ㅡ 공인인증서 비번 입력하고 로긴 누르면 앱이 다시 켜지고 그럼 또 다시 인증서 비번 누르고. 업데이트를 해도, 앱 지우고 다시 깔아도 계속 이따위. 개인앱은 안그러는데, 왜 기업용은 매번 이럽니까?"
19,20,20220107,2022,01,07,1,안승찬,공동인증서 무한 가져오기 시전중입니다. Pc에서 인증서 복사해오면 딱한번 쓸수있습니다. 저만 그런줄알았는데 바로 밑에 분도 저랑 똑같네요. 계좌이체할때마다 인증서 복사하던지 제발급받으라는건지... 이런거 빨리고쳐줘야 하는것 아닌가요?
20,21,20211228,2021,12,28,1,자유롭게살자,"2021.12.28일기준 갑자기 인증서가 안나타나서 로그인안되고, 인증서 복사해서 1번만 로그인된후 다시 실행하면 안되는경우. 해결방법. 원스토어에서 어플받아설치. 아이폰은 어떻게 해결하는지는 모름."
21,22,20210310,2021,03,10,3,doojung yoo,기업뱅킹도 단말기 지정 서비스를 만들어주던지 어느 단말기에서 로그인 되고 있는지 알수있게 해주던지 해줘야되는거 아닙니까? 왜 기업은행 기업뱅킹에만 없나요... 고객센터에 물어봐도 개인뱅킹은 되는데 기업뱅킹은 안됀다고하고... 내 계좌에 어느기기에서 접속하는지 아니면 접속권한도 설정할수 없다는게 참... 엉망진창이네요
