,0
0,화면이
1,넘어가기전에
2,다른앱
3,열었다
4,열면
5,계속
6,로딩중
7,꺼지지도
8,않고
9,강제
10,종료후
11,처음부터
12,시작을
13,해야
14,하네요
15,뱅킹만
16,열어두고
17,넘어갔는지
18,지켜보고
19,있어야하는
20,상황
21,있는것도
22,잘쓰고
23,있었는데
24,노후가
25,됐으면
26,그상태에서
27,보안을하시지
28,할줄알고
29,쓸줄아는데
30,처음부터
31,시작해야하니
32,원터치알림
33,살려주세요
34,로그인도
35,안되고
36,일욜까지
37,장사해야하는데
38,입금
39,확인
40,못하면
41,안되요.ㅠㅠ
42,뭐이래요~
43,원터치
44,사용못한다해서
45,다운받았는데
46,가입하려했더니
47,기죤아디가
48,있다나와
49,아뒤는
50,알았는데요~
51,비번이
52,기억안나서
53,비번재설정
54,받으려하는데
55,사업자등록하라는데
56,개인인데
57,사업자번호가
58,없는데
59,어케
60,들어갈수가
61,없네요
62,사업자
63,등록
64,전자세금용
65,공동인증서
66,신규
67,가입을
68,설치
69,했는데
70,개인
71,전자세금용
72,공동인증서
73,등록
74,로그인
75,전자세금용
76,공동인증서
77,등록
78,로그인
79,무한반복
80,로그인을
81,몇번하게
82,하는건가요
83,은행
84,다녀오는게
85,깔끔한
86,같네요
87,화면이
88,눈에
89,쏙쏙
90,들어와좋아요
91,간편기능배열도
92,쓰기
93,편하게
94,되어있구요
95,사용자입장에서
96,생각하고
97,만들어주신게
98,느껴져서
99,좋네요
100,사용하기
101,불편합니다
102,렉이
103,걸려요
104,사업상
105,여러
106,은행들의
107,앱을
108,이용하는데
109,메뉴얼이나
110,디자인은
111,깔끔하지만
112,에러가
113,발생됩니다
114,주거래은행이라
115,이용하는데
116,너무너무
117,짜증날
118,정도네요
119,급할땐
120,타은행에서
121,결제합니다
122,우리은행은
123,렉
124,걸림
125,한참
126,시간을
127,소요되다보니~
128,T004
129,에러가
130,뭔가요
131,폰
132,바꾼후
133,어플열면
134,메세지
135,뜨고
136,꺼지네요
137,플레이스토어에서
138,제거후
139,다시깔면
140,그때뿐
141,다음번부터는
142,에러
143,장난하나
144,폰을
145,껐다켜도
146,안되고
147,잘되던게
148,왜이럴까요
149,개인도
150,아니고
151,기업인데
152,바쁜데
153,짜증나요
154,기능이
155,많아진건
156,좋을지
157,몰라도
158,내역확인은
159,불편해
160,졌네요.적응도
161,안되고
162,보기도
163,불편하고
164,검색도
165,불편하고.이체도
166,번거롭고
167,저만의
168,불편함은
169,아닌듯
170,알뜰폰이
171,안되는
172,건지
173,핸드폰
174,인증이
175,안돼
176,대표자설정을
177,못함
178,괜히
179,받음
180,첫화면에서
181,겨우
182,넘어가면
183,통신상태를
184,확인하라면서
185,로그인이
186,안되는데요
187,우리은행
188,어플만
189,이러네요
190,리뷰도
191,핸펀으로
192,작성하는건데
193,왜이러는걸까요
194,법인전자세금계산서
195,안보임
196,폐기된거라뜸
197,모바일
198,인증서관리
199,보면
200,있음
201,전자세금용
202,Pc에서
203,보내기하면
204,완료뜨고
205,안뜸
206,국세청손텍스
207,등록완료떠도
208,인증서
209,안뜸
210,다른공인인증서
211,있는걸
212,누르면
213,폐기라뜸
214,날짜는
215,남았는데
216,어쩌라고이러는거지
217,3월14일ㅡ
218,오후
219,1시경
220,전화통화함.ㅡ
221,전산오류로
222,인한것이라고함
223,현재ㅡ
224,법인인증서
225,되고
226,손텍스
227,안됨
228,인증서
229,안보임
230,열받네
231,메뉴도
232,다양해지고
233,보기
234,쉽고
235,편리하게
236,되었네요~
237,이용하기
238,편하고
239,깔끔해요
240,깔금
241,하지만
242,닷컴
243,통장
244,메모
245,기능은
246,아직도
247,안되네여
248,pc
249,사용
250,가능하네요
251,업데이트
252,된건
253,외관뿐
254,기능은
255,기대로
256,입니다
257,기능
258,업데이트가
259,필요합니다
260,지난번에
261,건의
262,해도
263,개발시에
264,참고
265,하고
266,반영은
267,안되었습니다
268,원터치기업뱅킹
269,쓰고
270,있었는데
271,새로워진
272,기업뱅킹
273,정말
274,좋아졌네요
275,메뉴도
276,많아지고
277,생체까지
278,접근성
279,좋습니다
280,굿
281,편리하게
282,사용하고
283,있었는데
284,ONE
285,UI
286,4.0업데이트
287,앱진입이
288,안됩니다
289,댓글처럼
290,진행해도
291,앱진입이
292,되지
293,않습니다
294,빠른
295,조치
296,바랍니다
297,메뉴
298,구성이나
299,디자인이
300,깔끔하네요~타
301,뱅킹앱에
302,비해
303,메뉴
304,찾는게
305,간단해서
306,좋네요
307,인증서
308,로그인
309,시에
310,이용자등록하라고
311,나옵니다
312,참고로
313,법인사업자임
314,답변이
315,도움되지
316,않습니다
317,2개의
318,인증서가
319,폰에
320,있음
321,법인인증서를
322,기본인증서로
323,설정한
324,로그인
325,하면
326,아래
327,과정이
328,반복
329,얍실행-
330,인증서비번
331,입력-
332,이용자등록화면-
333,취소-
334,인증서
335,비번
336,입력-
337,로그인성공
338,그리고
339,LG
340,Q9
341,One
342,skt
343,폰인데
344,생체인증
345,등록이
346,안됩니다
347,우리은행
348,제대로
349,어플
350,만들어주셔서
351,너어무
352,고맙습니다
353,이게바로
354,기업용
355,어플입니다
356,너무쓰기쉽고
357,한번에
358,정리되고
359,보내는기능까지
360,다른
361,은행에
362,비해
363,UI가
364,깔끔하고
365,메뉴가
366,보기
367,편한
368,방식으로
369,되어있어
370,좋네요
371,잘쓰겠습니다
372,기능별
373,메뉴의
374,배치가
375,깔끔하고
376,시인성도
377,좋아
378,사용하기에
379,편합니다
380,정말
381,쓰기
382,편한
383,어플인거같아요
384,만드신분
385,엄청
386,고생하셧을듯
387,평점
388,최고점
389,드림니다
390,앱시작에
391,필요한
392,정보를
393,불러오지못했다면서
394,무한
395,반복.접속자체가
396,불가
397,네트워크
398,연결상태확인후
399,접속
400,하라는데
401,"와이파이,5g다터지는데"
402,내속도
403,터짐
404,개발자야
405,기존앱보다
406,많이
407,편해졌네요~
408,기능도
409,많아지고
410,승인결재도
411,이제는
412,다되네요~
413,승인결재
414,알림도
415,잘오고
416,좋아요~
417,사용하기
418,편하고
419,디자인
420,깔끔하네요
421,은행에
422,가지
423,않아도
424,되니
425,앞으로
426,편리하게
427,쓸꺼같아요
428,UI가
429,깔끔하고
430,편의성
431,측면에서
432,사용이
433,상당히
434,편리합니다
435,보기좋네요
436,아직까지는
437,쓰는데
438,이상없구요
439,일단
440,복잡하지
441,않구
442,직관적이라
443,좋구요
444,새로운
445,기능이
446,있는데
447,그건
448,써보구
449,말씅트릴께요
450,다른
451,은행
452,프로그램은
453,정상적으로
454,v3키고
455,진행하는데
456,이거는
457,v3켜지지도
458,않으면서
459,꺼지네요
460,기업뱅킹인데
461,이렇게
462,오류
463,많으면
464,어떻게
465,쓰나요
466,사용하기
467,편한
468,같아요
469,기존의
470,앱보다
471,기능도
472,많아졌고
473,화면도
474,깔끔해진
475,같아요
476,소소한
477,이벤트도
478,진행하고
479,UI도
480,예전에
481,비해
482,많이
483,개선된거
484,같아요
485,좋습니다
486,UI도
487,편하게
488,구성되어
489,사용하기
490,어렵지
491,않네요
492,모바일어플로
493,처음
494,우리
495,회사
496,계좌도
497,조회하고
498,이체도
499,해보았는데
500,생각했던
501,것보다
502,편리하네요
503,이쁘게
504,만들어진것같아요
505,기업뱅킹은
506,흰화면만뜨고
507,개인뱅킹은
508,로딩
509,안돌고
510,인트로화면에서
511,가만히있어요
512,폰제트플립
513,안드버전
514,11
515,잘되던게
516,안됨
517,고치는척이라도
518,하세요
519,모든
520,기능이
521,사용하기
522,편리하고
523,한
524,눈에
525,들어와서
526,좋습니다
527,사용하기
528,편리하고
529,좋아요
530,외근
531,나가는
532,수고가
