,id,date,dateYear,dateMonth,dateDay,rating,content
0,1,20210210,2021,02,10,1,화면이 넘어가기전에 다른앱 열었다 다시 열면 계속 로딩중 ..꺼지지도 않고 강제 종료후 처음부터 다시 시작을 해야 하네요 뱅킹만 열어두고 넘어갔는지 지켜보고 있어야하는 상황...있는것도 잘쓰고 있었는데 노후가 됐으면 그상태에서 보안을하시지 기껏 할줄알고 쓸줄아는데 처음부터 다시 시작해야하니..
1,2,20220728,2022,07,28,1,그냥 원터치알림 살려주세요. 로그인도 안되고 일욜까지 장사해야하는데 입금 확인 못하면 안되요.ㅠㅠ
2,3,20220729,2022,07,29,1,뭐이래요~ 원터치 사용못한다해서 다운받았는데 가입하려했더니 기죤아디가 있다나와 아뒤는 알았는데요~ 비번이 기억안나서 비번재설정...받으려하는데 사업자등록하라는데...개인인데 사업자번호가 없는데 어케 ..들어갈수가 없네요...
3,4,20220721,2022,07,21,1,사업자 등록 후 전자세금용 공동인증서 신규 가입을 위해 설치 했는데 개인>전자세금용 공동인증서 등록>로그인>전자세금용 공동인증서 등록>로그인 무한반복.. 로그인을 몇번하게 하는건가요? 은행 다녀오는게 깔끔한 것 같네요;;
4,5,20210203,2021,02,03,5,화면이 눈에 쏙쏙 들어와좋아요. 간편기능배열도 쓰기 편하게 되어있구요. 사용자입장에서 생각하고 만들어주신게 느껴져서 좋네요.
5,6,20210317,2021,03,17,1,진짜 사용하기 너무 불편합니다. 렉이 너무 자주 걸려요. 사업상 여러 은행들의 앱을 이용하는데 메뉴얼이나 디자인은 깔끔하지만 에러가 너무 자주 발생됩니다. 주거래은행이라 매일 이용하는데 너무너무 짜증날 정도네요. 이젠 급할땐 타은행에서 결제합니다. 우리은행은 또 렉 걸림 한참 시간을 소요되다보니~
6,7,20210930,2021,09,30,1,T004 에러가 뭔가요 폰 바꾼후 어플열면 저 메세지 뜨고 그냥 꺼지네요 플레이스토어에서 제거후 다시깔면 그때뿐..다음번부터는 다시 에러.. 장난하나..폰을 껐다켜도 안되고. 잘되던게 왜이럴까요. 개인도 아니고 기업인데..다들 바쁜데.. 짜증나요.
7,8,20210209,2021,02,09,1,"기능이 많아진건 좋을지 몰라도 내역확인은 너무 불편해 졌네요.적응도 안되고 보기도 불편하고 검색도 불편하고.이체도 번거롭고,저만의 불편함은 아닌듯 합니다"
8,9,20220726,2022,07,26,1,알뜰폰이 안되는 건지 핸드폰 인증이 안돼 대표자설정을 못함 괜히 받음
9,10,20220530,2022,05,30,1,첫화면에서 겨우 넘어가면 통신상태를 확인하라면서 로그인이 안되는데요.. 우리은행 어플만 이러네요?? 이 리뷰도 핸펀으로 작성하는건데..ㅎ 왜이러는걸까요??
10,11,20220314,2022,03,14,1,"법인전자세금계산서. 안보임. 폐기된거라뜸. 모바일 인증서관리 보면 있음.(전자세금용) Pc에서 보내기하면 완료뜨고 또 안뜸. 국세청손텍스 등록완료떠도 인증서 안뜸. 다른공인인증서 있는걸 누르면 폐기라뜸. 날짜는 남았는데 . 어쩌라고이러는거지? ㅡ 3월14일ㅡ 오후 1시경 전화통화함.ㅡ 전산오류로 인한것이라고함. 현재ㅡ 법인인증서 만 되고 손텍스, 등 다 안됨(인증서 안보임) 열받네."
11,12,20210202,2021,02,02,5,"메뉴도 다양해지고 보기 쉽고 편리하게,되었네요~ 이용하기 편하고 깔끔해요"
12,13,20210121,2021,01,21,3,깔금 합니다 하지만 닷컴 통장 의 메모 기능은 아직도 안되네여 pc 에서만 사용 가능하네요 업데이트 된건 외관뿐 기능은 기대로 입니다 기능 업데이트가 더 필요합니다 지난번에 건의 해도 개발시에 참고 한다고 하고 반영은 안되었습니다
13,14,20210109,2021,01,09,5,원터치기업뱅킹 쓰고 있었는데 새로워진 기업뱅킹 정말 좋아졌네요. 메뉴도 많아지고 생체까지 접근성 도 좋습니다. 굿!!
14,15,20211128,2021,11,28,2,편리하게 사용하고 있었는데 ONE UI 4.0업데이트 후 앱진입이 안됩니다 댓글처럼 진행해도 앱진입이 되지 않습니다 빠른 조치 바랍니다
15,16,20210202,2021,02,02,5,메뉴 구성이나 디자인이 깔끔하네요~타 뱅킹앱에 비해 메뉴 찾는게 아주 간단해서 좋네요
16,17,20201218,2020,12,18,4,"인증서 로그인 시에 자꾸 이용자등록하라고 나옵니다. (참고로 법인사업자임) 답변이 도움되지 않습니다. 2개의 인증서가 폰에 있음. 법인인증서를 기본인증서로 설정한 후 로그인 하면 아래 과정이 반복. 얍실행->인증서비번 입력->이용자등록화면->취소->다시 인증서 비번 입력-> 로그인성공 그리고, LG Q9 One(skt) 폰인데 생체인증 등록이 안됩니다."
17,18,20210304,2021,03,04,5,우와..............드디어 우리은행 제대로 어플 만들어주셔서 너어무 고맙습니다! 진짜 이게바로 기업용 어플입니다 너무쓰기쉽고 한번에 정리되고 보내는기능까지 진짜 완전 대박!
18,19,20210304,2021,03,04,5,다른 은행에 비해 UI가 깔끔하고 메뉴가 보기 편한 방식으로 되어있어 좋네요. 잘쓰겠습니다.
19,20,20210203,2021,02,03,5,기능별 메뉴의 배치가 깔끔하고 시인성도 좋아 사용하기에 편합니다.
20,21,20210304,2021,03,04,5,정말 쓰기 편한 어플인거같아요. 만드신분 엄청 고생하셧을듯.... 평점 최고점 드림니다
21,22,20210314,2021,03,14,1,"앱시작에 필요한 정보를 불러오지못했다면서 무한 반복.접속자체가 불가 네트워크 연결상태확인후 접속 하라는데 와이파이,5g다터지는데 내속도 터짐 개발자야..."
22,23,20210109,2021,01,09,5,기존앱보다 많이 편해졌네요~ 기능도 많아지고 승인결재도 이제는 다되네요~ 승인결재 알림도 잘오고 좋아요~
23,24,20210202,2021,02,02,5,사용하기 편하고 디자인 깔끔하네요 은행에 가지 않아도 되니 앞으로 편리하게 쓸꺼같아요
24,25,20210202,2021,02,02,5,UI가 깔끔하고 편의성 측면에서 사용이 상당히 편리합니다!
25,26,20210210,2021,02,10,5,보기좋네요 아직까지는 쓰는데 이상없구요 일단 복잡하지 않구 직관적이라.. 좋구요 새로운 기능이 있는데 그건 써보구 말씅트릴께요
26,27,20210323,2021,03,23,1,다른 은행 프로그램은 정상적으로 v3키고 진행하는데 이거는 v3켜지지도 않으면서 그냥 꺼지네요 기업뱅킹인데 이렇게 오류 많으면 어떻게 쓰나요
27,28,20210202,2021,02,02,5,사용하기 편한 거 같아요 기존의 앱보다 기능도 많아졌고 화면도 더 깔끔해진 것 같아요
28,29,20211207,2021,12,07,5,소소한 이벤트도 진행하고 UI도 예전에 비해 많이 개선된거 같아요
29,30,20210203,2021,02,03,5,너무 좋습니다 UI도 아주 편하게 구성되어 사용하기 어렵지 않네요 ~~!!
30,31,20210715,2021,07,15,5,모바일어플로 처음 우리 회사 계좌도 조회하고 이체도 해보았는데 생각했던 것보다 편리하네요 이쁘게 잘 만들어진것같아요 ;)
31,32,20210518,2021,05,18,1,기업뱅킹은 흰화면만뜨고 개인뱅킹은 로딩 안돌고 인트로화면에서 가만히있어요 폰제트플립 이고 안드버전 11 잘되던게 안됨 고치는척이라도 하세요..
32,33,20210204,2021,02,04,5,모든 기능이 사용하기 편리하고 한 눈에 들어와서 아주 좋습니다
33,34,20201215,2020,12,15,5,"사용하기 편리하고 좋아요, 외근 나가는 수고가 많이 줄것같아요! 감사합니다~ 잘 쓰고있어요 ;-)"
34,35,20210107,2021,01,07,5,기존 어플보다 훨씬 깔끔하고 좋아졌어요!!! 편리하고 간편하게 잘 사용하고 있습니다~
35,36,20210202,2021,02,02,5,업데이트후에 UI도 깔끔하고 사용하기 편해졌네요 . 잘쓰겠습니다.
36,37,20210109,2021,01,09,3,생체인증 등록이 되질않아요. 인증번호 입력후 추가인증 유의사항 화면에서 2분 숫자 사라지는 것만 반복해서 보이고 넘어가질 않습니다. 갤s10 5g사용자입니다
37,38,20201215,2020,12,15,5,아직 오픈 한지 얼마 안되었는데 이용가능 메뉴가 많아졌다고해서 기대해 봅니다
38,39,20220624,2022,06,24,1,세상 이렇게 만든 어플은 처음 봄. 성질 혈압 올린게한 어플.은행어플중 완전 혈압올라ㅡㅡ 비밀번호 입력 안되고 느리고
39,40,20210112,2021,01,12,5,은행에 방문하지 않고도 할수 있는 업무가 많아져서 좋습니다. 생체인증과 서비스쪽 부가기능들은 사용하는데 소소한 재미가 있네요.
