,id,date,dateYear,dateMonth,dateDay,rating,userName,content
0,1,20220808,2022,08,08,5,SunYoung Jin,(기능 제안) 하단 네비게이션 전체 메뉴에서 [자주 쓰는 기능 상단 고정] [별표 기능 상단 고정] [즐겨찾는 기능 상단 고정]과 같은 기능을 추가해줬으면 합니다. 80개 가량의 메뉴가 있는데 맨 아래의 [만보기]나 [오늘의 머니 팁] 같은 메뉴로 들어가려면 한참을 스와이프 해야 합니다. 오히려 맨 끝에 있으면 계속 스와이프 하는 손가락 노가다만 해서 다행인데 저는 [자동이체] 메뉴를 즐겨 사용하는데 중간 쯤 있어서 찾으려면 매번 짜증나네요.
1,2,20220721,2022,07,21,4,박은호,처음 보다 계속 업데이트 되며 갈수록 느려지고 오류도 늘어나는 것 같습니다. 특히 해결했던 오류가 다음 업데이트 후 또 생기고 그렇습니다. 예를 들면 알림 클릭하여 내용 확인 후 뒤로가기를 누르면 같은 화면만 리프레쉬되고 뒤로가기나 종료가 되지 않습니다. 이런 오류들이 업데이트 때 마다 해결 되었다 다시 그러다 반복되네요.
2,3,20220809,2022,08,09,4,이경래,수고하십니다 잘만드셨고 잘쓰고 있습니다 다만 창에 나의 잔고나 주식정보가 노출되니 혼자만 본다면 별문제지만 타인과 의논하며 볼때 모두 보이니 조금은 분편하군요 종목창과 등락만 보이는 화면만 보이는 기능이 있었으면 하는 아쉬움이 있습니다 자산과 보유주식 가리기하는 기능이 있었으면 좋겠슷니다
3,4,20220811,2022,08,11,2,1 p,"토스 자체는 성능이 좋음 단, 토스증권은 제외 토스 증권 해외주식은 기본적인 기사 업데이트조차 재대로 되어져있지않아 타 증권사와 비교했을 때 이걸 왜 쓸까? 하는 의문이생김. 그나마 토스 사용자 게시에 사용자들이 타증권사에 올라온 자료를 공지해 소식을 알 수있는데 운영진은 이조차 시도를 안함. 또한 불필요한 업데이트를 자주함. 인기순위차트식으로 보는건 전에 사용하던것보다 더 불편하게 만들었음 또한 동전주의경우 단위구매가 안되어 손해를보고 구매해야함. 이건 군대식 보여주기 업데이트만하니 굳이 쓸 이유를 점차모르겠음 난 1년 이상 토스증권을 썻고 타증권으로 넘어갈 예정."
4,5,20220723,2022,07,23,5,녕안,꾸준히 토스 사용하는 중인 이용자입니다~ 최근에 심심해서 토스앱 둘러보다가 '키워봐요 적금'를 보게 됐습니다. 우수울 수도 있지만 키우기 게임을 좋아하는 저로서는 적금하는데 최고의 방식이라고 생각합니다. 현실적으로 될지는 모르겠지만 이런 방식의 적금이 늘어났으면 좋겠어요~ 포인트로 캐릭터 커스텀도 하고 먹이도 먹일 수 있으면 더 적극적으로 참여할 것 같기도 하구요. 물론 적금의 본질이 사라질 수도 있겠다만 ㅎ 무튼 잘 사용하고 있습니다~ 아 그리고 혹시 제 미션 포인트 좀 주시겠어요...? GS 6000원짜리 미션이었는데 이틀째 미션 성공이 안뜨네용... 왜 안되는지 답장이라도... 좀...
5,6,20220730,2022,07,30,5,민최신,토스 정말정말 잘 쓰고 있어요 인터넷 결제할 때 편하게 결제가 되는게 정말 좋은 것 같아요! 조금 제안을 하자면...ㅠㅠ 밥을 먹고 각자 계산보다는 한 사람이 몰아서 계산하는 경우가 많아요 물론 더치페이를 요청하면 되지만 계좌가 없는 친구들도 간혹 있어서 제가 다 쓴게 아닌데도 한 달 소비 내역에 그 밥 결제 내역이 뜨는게 아쉬워요 그걸 편집 할 수 있게 해주셨으면 좋겠어요! 이거 말고 또 원하는 건 없고 정말 편리하게 쓸 수 있어서 만족하고 있어요
6,7,20220707,2022,07,07,1,그때그블렉,실제 걷는 수가 부정확하다. 만보만 넘게 걸으면 에러가 나서 측정이 안된다. 삼성헬스와 같이 측이 되다가도 오류가 난다. 꼭 만보 이상 걷는 날만 오류가 난다. 토스 삭제!! 당연히 활성화 시켜서 이용을 하지 활성화 안하고 이용하겠습니까. ?? 답변이라고는...... 토스뱅크 다시 이용하면서 또 확인 했지만 같은방식으로 확인되는 만보기가 왜 상당한 걸음수로 차이가 있는지 알수가 없습니다. 같은폰에 있는 삼성헬스는 거의 정확하게 측정되는데 토스 걸음걸이 수는 2~3000보씩 차이가 나는건 도무지 이해가 안되네요.. 활성화는 되 있으니 측정이 되겠죠? 개선 여지가 필요하다고 생각합니다.
7,8,20220704,2022,07,04,4,이해준,"토스 증권 로딩도 길고, 전 단계로 넘어가는 과정이 별로 입니다. 전 단계로 넘어 가서 매도나 매수 할려면 아예 토스 어플을 종료하고 다시 켜는 번거로움이 아주 많습니다. 그러다 타이밍 놓쳐서 매수, 매도가 늦어지는 일이 부지기 수 입니다. 화면 뜰때 로딩이 길지 않았으면 좋겠습니다. 그리고 조금씩 더 좋아지는 것 같아 감사드립니다."
8,9,20220602,2022,06,02,3,Jake Lee,"토스 포인트 미션을 자주 하는 편인데요... 어느 순간부터 미션을 바꿔도 바뀌는게 없네요. 그렇다고 매주 똑같은 미션만 나오는데, 그 미션들 또한 모두 이미 가입을 했거나, 보상을 받은 기록이 있는 미션만 고정으로 계속 나오고 있어요. 해당 미션들을 포기하고, 다른 미션을 받을 수 있도록 해줬으면 좋겠네요."
9,10,20220705,2022,07,05,4,하윙,제가 원래 입출금 계좌와 예금계좌를 토스에 같이 연결시켜놨었는데 이번에 예금계좌가 만기가 되고 새로만든 예금 계좌를 토스에 연결시키려하니 1원을 보낸후 입금자이름을 확인해야 계좌를 연결할수 있도록 해놓은걸로 알고있습니다. 하지만 예금계좌의 특성상 입금이 불가능합니다. 즉 토스에 계좌를 연결시킬수 없게 됩니다. 따라서 입금자 이름을 확인하는 방법 이외에 다른 수단을 만들어줬으면 합니다! 원래 모든계좌를 한꺼번에 같이 봤었는데 이제는 그러지 못하다 보니까 너무 불편합니다. 살짝 정이 떨어지는 중이랄까..ㅎㅎ 이점만 빠른 시일내에 개선시켜 주시면 좋을것 같네요
10,11,20220629,2022,06,29,5,엘롱,"인터페이스가 굉장히 보기쉽고 필요한 기능만 있어 유용합니다. 다만 토스뱅크를 이용하면서 모으기 통장의 잔액을 숨길 수 있는 기능을 추가해주셨으면 합니다. 비상금 모으기용으로 사용함에도 계좌잔액에 전체 금액이 보여져, 주 이용 계좌 잔액과 혼동되는 경우가 있습니다. 이게 개선된다면 토스뱅크 이용이 편리해질거라 생각합니다."
